Date,Team 1,Score,Team 2
22 September 2023,Al Ittihad,2 - 1,Al Fateh FC
22 September 2023,Al Shabab,4 - 1,AL Hazem FC
22 September 2023,Al Taawon,2 - 1,Al Raed
22 September 2023,Damac FC,1 - 1,Al Hilal
22 September 2023,Abha Club,1 - 3,AL Ettifaq FC
22 September 2023,Al-Ahli,3 - 2,Al Taawon
22 September 2023,AL Hazem FC,1 - 1,Al-Tai FC
17 February 2024,Al Wahda,1 - 1,Al-Tai FC
17 February 2024,Damac FC,0 - 1,Al Shabab
17 February 2024,Abha Club,1 - 1,Al Taawon
17 February 2024,Al-Khaleej Club,0 - 2,AL Ettifaq FC
17 February 2024,Al-Tai FC,0 - 3,Al Ittihad
17 February 2024,Al Fateh FC,0 - 0,Al-Okhdood Club
17 February 2024,Al Shabab,1 - 0,Al Wahda
17 February 2024,Al Taawon,1 - 4,Al Nassr
17 February 2024,Al-Ahli,1 - 0,Al-Khaleej Club
17 February 2024,Al Feiha,0 - 2,Al Hilal
22 September 2023,Al Raed,1 - 3,Al Nassr
22 September 2023,Al Feiha,0 - 1,Al Shabab
22 September 2023,Al Hilal,6 - 1,Al-Riyadh SC
22 September 2023,Al-Khaleej Club,1 - 3,Al Fateh FC
22 September 2023,Al-Okhdood Club,0 - 1,Al Ittihad
22 September 2023,Al Wahda,4 - 2,Damac FC
22 September 2023,AL Ettifaq FC,3 - 1,Damac FC
22 September 2023,Al Fateh FC,5 - 1,Al-Ahli
22 September 2023,AL Hazem FC,1 - 5,Al Nassr
22 September 2023,Al Shabab,1 - 3,Al-Khaleej Club
22 September 2023,Al Taawon,4 - 1,Al Wahda
17 February 2024,Al Raed,4 - 3,Abha Club
17 February 2024,AL Ettifaq FC,1 - 1,AL Hazem FC
17 February 2024,Al-Riyadh SC,1 - 0,Damac FC
17 February 2024,Al Ittihad,2 - 5,Al Nassr
17 February 2024,Al Wahda,3 - 1,Al-Riyadh SC
17 February 2024,Al Ittihad,1 - 3,Al Raed
17 February 2024,Al Taawon,1 - 3,Al Fateh FC
17 February 2024,Al-Okhdood Club,1 - 0,Al Shabab
17 February 2024,AL Hazem FC,0 - 4,Al-Ahli
17 February 2024,Al Nassr,3 - 1,AL Ettifaq FC
22 September 2023,Al Feiha,0 - 0,Al Raed
22 September 2023,Al Ittihad,3 - 4,Al Hilal
22 September 2023,Al-Riyadh SC,0 - 1,Al-Okhdood Club
22 September 2023,Al-Tai FC,1 - 0,Abha Club
22 September 2023,Al-Ahli,2 - 0,Al-Tai FC
22 September 2023,Al-Okhdood Club,0 - 1,Al Taawon
22 September 2023,Al-Khaleej Club,1 - 1,AL Hazem FC
22 September 2023,Al Nassr,4 - 0,Al Shabab
22 September 2023,Damac FC,2 - 2,Al Fateh FC
22 September 2023,Abha Club,2 - 1,Al Feiha
22 September 2023,Al Hilal,2 - 0,AL Ettifaq FC
22 September 2023,Al Raed,3 - 0,Al-Riyadh SC
17 February 2024,Al Hilal,7 - 0,Abha Club
17 February 2024,Al-Khaleej Club,3 - 0,Al Feiha
17 February 2024,Damac FC,3 - 0,Al-Tai FC
